Adamorobe Sign Language
Afghan Sign Language
Albanian Sign Language
Algerian Sign Language
Al-Sayyid Bedouin Sign Language
American Sign Language
Arabic Sign Language
Argentine Sign Language
Armenian Sign Language
Australian Sign Language
Australian Aborigines Sign Language
Austrian Sign Language
Bamako Sign Language
Ban Khor Sign Language
Bengkala Sign Language
Bolivian Sign Language
Brazilian Sign Language
British Sign Language
Bulgarian Sign Language
Catalan Sign Language
Chadian Sign Language
Chiangmai Sign Language
Chilean Sign Language
Chinese Sign Language
Colombian Sign Language
Costa Rican Sign Language
Croatia Sign Language
Cuba Sign Language
Czech Sign Language
Danish Sign Language
Dominican Sign Language
Dutch Sign Language
Ecuadorian Sign Language
Egypt Sign Language
English Sign Language
Estonian Sign Language
Ethiopian Sign Language
Finland-Swedish Sign Language
Finnish Sign Language
French Sign Language
German Sign Language
Ghanaian Sign Language
Ghandruk Sign Language
Guatemalan Sign Language
Guinean Sign Language
Haiphong Sign Language
Hanoi Sign Language
Hausa Sign Language
Hawai'i Sign Language (HSL)
Ho Chi Minh City Sign Language
Honduras Sign Language
Hong Kong Sign Language
Hungarian Sign Language
Icelandic Sign Language
Indian Sign Language
Indonesian Sign Language
International Sign
Inuit Sign Language
Irish Sign Language
Israeli Sign Language
Italian Sign Language
Jamaican Country Sign Language
Jamaican Sign Language
Japanese Sign Language
Jhankot Sign Language
Jordanian Sign Language
Jumla Sign Language
Kenyan Sign Language
Korean Sign Language
Laos Sign Language
Latvian Sign Language
Libyan Sign Language
Lithuanian Sign Language
Lyons Sign Language
Madagascar Sign Language
Malaysian Sign Language
Maltese Sign Language
Maritime Sign Language
Martha's Vineyard Sign Language
Mauritian Sign Language
Mexican Sign Language
Miriwoong Sign Language
Moldova Sign Language
Monastic Sign Language
Mongolian Sign Language
Moroccan Sign Language
Mozambican Sign Language
Namibian Sign Language
Nepalese Sign Language
New Zealand Sign Language
Nicaraguan Sign Language
Nigerian Sign Language
Norwegian Sign Language
Old Kentish Sign Language
Pakistan Sign Language
Panamanian Sign Language
Papua New Guinean Sign Language
Paraguayan Sign Language
Penang Sign Language
Persian Sign Language
Peruvian Sign Language
Philippine Sign Language
Plains Indian Sign Language
Polish Sign Language
Portuguese Sign Language
Providencia Sign Language
Puerto Rican Sign Language
Quebec Sign Language
Romanian Sign Language
Russian Sign Language
Salvadoran Sign Language
Saudi Arabian Sign Language
Selangor Sign Language
Sierra Leone Sign Language
Singapore Sign Language
Slovakian Sign Language
Solomon Islands Sign Language
South African Sign Language
Spanish Sign Language
Sri Lankan Sign Language
Swedish Sign Language
Swiss-French Sign Language
Swiss-German Sign Language
Swiss-Italian Sign Language
Taiwan Sign Language
Tanzanian Sign Language
Tebul Sign Language
Thai Sign Language
Trinidad and Tobago Sign Language
Tunisian Sign Language
Turkish Sign Language
Ugandan Sign Language
Ukrainian Sign Language
Urubú-Kaapor Sign Language
Uruguayan Sign Language
Venezuelan Sign Language
West Bengal Sign Language
Yan-nhaŋu Sign Language
Yolŋu Sign Language
Yucatec Maya Sign Language
Yugoslavian Sign Language
Zambian Sign Language
Zimbabwe Sign Language
